type_id,kind_id,id,name,search_word,carbohydrate_per_100g,carbohydrate_per_weight,weight,weight_hint,calory,protein,fat,sodium,notes,deleted_flg
1,1,1,アマランサス,あまらんさす,50.1,50.1,100,,358,12.7,6,1,,FALSE
1,1,2,あわ,粟 アワ,63.1,63.1,100,,367,11.2,4.4,1,,FALSE
1,1,3,えんばく(オートミール),えん麦 燕麦 エンバク,50.3,50.3,100,,380,13.7,5.7,1,,FALSE
1,1,4,おおむぎ（七分つき押し麦),大麦 オオムギ,51.5,51.5,100,,341,10.9,2.1,2,,FALSE
1,1,5,小麦粉薄力粉,こむぎこはくりきこ コムギコハクリキコ,70.8,70.8,100,,367,8.3,1.5,0,,FALSE
1,1,6,小麦粉強力粉,こむぎこきょうりきこ コムギコキョウリキコ,66.3,66.3,100,,365,11.8,1.5,0,,FALSE
1,1,7,小麦粉プレミックス粉（ホットケーキ用）,こむぎこぷれみっくすこ コムギコプレミックスコ ほっとけーき,70.7,70.7,100,,365,7.8,4,3.9,,FALSE
1,1,8,小麦粉プレミックス粉（天ぷら用）,こむぎこぷれみっくすこ コムギコプレミックスコ てんぷら 天麩羅 天婦羅 テンプラ,71.1,71.1,100,,351,8.8,1.3,2.1,,FALSE
1,1,9,食パン（6枚切り1枚）,しょくぱん ショクパン,44.3,26.6,60,,158,5.6,2.6,0.8,,FALSE
1,1,10,コッペパン,こっぺぱん,47.1,42.4,90,,239,7.7,3.4,1.2,,FALSE
1,1,11,乾パン,かんぱん カンパン,76,7.6,10,,39,1,0.4,0.1,,FALSE
1,1,12,フランスパン,ふらんすぱん,54.8,32.9,60,,167,5.6,0.8,1,,FALSE
1,1,13,ライ麦パン（6枚切り1枚）,らいむぎぱん ライムギ,47.2,28.3,60,,158,5,1.3,0.7,,FALSE
1,1,14,ぶどうパン,ブドウ 葡萄 ぱん,49,14.7,30,,81,2.5,1.1,0.3,,FALSE
1,1,15,ロールパン,ろーるぱん,46.7,14,30,,95,3,2.7,0.4,,FALSE
1,1,16,クロワッサン,くろわっさん,42,18.9,45,,202,3.6,12.1,0.5,,FALSE
1,1,17,イングリッシュマフィン,いんぐりっしゅまふぃん,39.7,23.8,60,,137,4.9,2.2,0.7,,FALSE
1,1,18,ナン,なん,45.6,36.5,80,,210,8.2,2.7,1,,FALSE
1,1,19,ベーグル,べーぐる,52.1,46.9,90,,248,8.6,1.8,1.1,,FALSE
1,1,20,うどん（ゆで）,饂飩 ウドン,20.8,62.4,300,,315,7.8,1.2,0.9,,FALSE
1,1,21,干しうどん（ゆで）,饂飩 ウドン ほし,25.1,60.2,240,,302,7.4,1.2,1.2,,FALSE
1,1,22,そうめん（ゆで）,ソウメン 素麺,24.9,67.2,270,,343,9.5,1.1,0.5,,FALSE
1,1,23,手延べそうめん（ゆで）,ソウメン 素麺 てのべ テノベ　ひやむぎ　冷や麦　ヒヤムギ,24.5,71.1,290,,368,10.2,1.7,0.9,,FALSE
1,1,24,中華めん（ゆで）,ちゅうか チュウカ メン,27.9,53,190,,283,9.3,1.1,0.4,,FALSE
1,1,25,蒸し中華めん,ちゅうか チュウカ メン むし ムシ,36.5,62.1,170,,337,9,2.9,0.7,,FALSE
1,1,26,即席中華めん（油揚げ）,ちゅうか チュウカ メン そくせき ソクセキ あぶらあげ アブラアゲ,59,53.1,90,,412,9.1,17.2,5,,FALSE
1,1,27,スパゲッティ（乾）,パスタ ぱすた すぱげってぃ 乾燥 かんそうpasta,71.2,71.2,100,,379,12.2,1.9,0,,FALSE
1,1,28,生パスタ,ナマぱすたpasta,45.4,59,130,,321,10.1,2.5,1.6,,FALSE
1,1,29,生ふ,麩 おふ オフ なまふ ナマフ,25.7,7.7,30,,49,3.8,0.2,0,,FALSE
1,1,30,焼きふ,麩 おふ オフ ヤキふ ヤキフ,54,2.7,5,,19,1.4,0.1,0,,FALSE
1,1,31,ぎょうざの皮,餃子 ギョウザ かわ カワ,54.7,16.4,30,,87,2.8,0.4,0,,FALSE
1,1,32,しゅうまいの皮,焼売 シュウマイ かわ カワ,56.8,14.2,25,,74,2.1,0.4,0,,FALSE
1,1,33,ピザ生地,ぴざ キジ きじ,48.8,48.8,100,,268,9.1,3,1.3,,FALSE
1,1,34,ちくわぶ,竹輪麩 チクワブ,28.1,28.1,100,,171,7.1,1.2,1,,FALSE
1,1,35,パン粉（生）,ぱんこ パンコ なま ナマ,45,4.5,10,,28,1.1,0.5,0.1,,FALSE
1,1,36,パン粉（乾）,ぱんこ パンコ 乾燥 かんそう,59,5.9,10,,37,1.5,0.7,0.1,,FALSE
1,1,37,もち米,餅米 こめ モチゴメ,76.8,49.9,65,,233,4.2,0.8,0,,FALSE
1,1,38,きりたんぽ,キリタンポ 切りたんぽ,45.9,32.1,70,,147,2.2,0.3,0,,FALSE
1,1,39,玄米粉,げんまいこ ゲンマイコ,80.7,12.1,15,,59,1.1,0.4,0,,FALSE
1,1,40,米粉,こめこ べいふん べいこ 穀粉 コメコ ベイフン ベイコ,80.7,12.1,15,,56,0.9,0.1,0,,FALSE
1,1,41,米粉パン,こめこ べいふん べいこ 穀粉 コメコ ベイフン ベイコ ぱん,50.4,27.7,55,,140,1.9,1.7,0.5,,FALSE
1,1,42,米粉めん,こめこ べいふん べいこ 穀粉 コメコ ベイフン ベイコ めん,57.6,40.3,70,,186,2.5,0.5,0.1,,FALSE
1,1,43,ビーフン,びーふん,79.1,59.3,75,,283,5.3,1.2,0,,FALSE
1,1,44,もち,餅 モチ,50.3,30.2,60,,140,2.4,0.4,0,,FALSE
1,1,45,そば粉（全層粉）,蕎麦 ソバコ そばこ ゼンソウコ ぜんそうこ,65.3,9.8,15,,54,1.8,0.5,0,,FALSE
1,1,46,そば（ゆで）,蕎麦 ソバ ユデ,24,58.8,245,,323,11.8,2.5,0,,FALSE
1,1,47,干しそば（ゆで）,蕎麦 ソバ ほし ホシ,20.6,53.6,260,,296,12.5,1.8,0.3,,FALSE
1,1,48,コーンフレーク,こーんふれーく,81,8.1,10,,38,0.8,0.2,0.2,,FALSE
1,1,49,ライ麦（全粒粉）,らい 麦 ムギ ぜんりゅうこ ゼンリュウコ,57.3,8.6,15,,50,1.9,0.4,0,,FALSE
1,1,50,雑穀（五穀）,ざっこく ザッコク ごこく ゴコク,65,19.5,30,,107,3.8,0.8,0,,FALSE
1,2,51,あずき（ゆで）,小豆 アズキ 茹で ユデ,12.5,2.5,20,,29,1.8,0.2,0,,FALSE
1,2,52,こしあん,漉し餡 コシアン,20.5,4.1,20,,31,2,0.1,0,,FALSE
1,2,53,つぶしあん,潰し餡 ツブシアン,48.5,9.7,20,,49,1.1,0.1,0,,FALSE
1,2,54,いんげんまめ（ゆで）,インゲン豆 マメ 茹で ユデ,11.5,2.3,20,,29,1.7,0.2,0,,FALSE
1,2,55,えんどう（ゆで）,エンドウ 茹で ユデ,17.3,2.6,15,,22,1.4,0.2,0,,FALSE
1,2,56,グリンピース（揚げ豆）,グリーン ぐりんぴーす ぐりーん あげ 豆 マメ,40,2,5,,21,1,0.6,0,,FALSE
1,2,57,そらまめ（フライビーンズ）,空豆 ソラマメ ふらいびーんず,31.3,4.7,15,,71,3.7,3.1,0.3,,FALSE
1,2,58,だいず（ゆで）,大豆 ダイズ ユデ 茹で,1.8,0.7,40,,70,5.9,3.9,0,,FALSE
1,2,59,だいず（水煮缶詰）,大豆 ダイズ みずに ミズニ かんづめ カンヅメ,1,0.2,20,,28,2.6,1.3,0.1,,FALSE
1,2,60,きな粉（全粒大豆）,きなこ キナコ ぜんりゅう だいず ゼンリュウ ダイズ,10,1,10,,45,3.7,2.6,0,,FALSE
1,2,61,ダイズラボ大豆粉,だいずらぼ こな,18.3,18.3,100,,457,36.9,21.7,0,,FALSE
1,2,62,木綿豆腐,もめんどうふ モメンドウフ とうふ,1.2,4.8,400,,288,26.4,16.8,0.4,,FALSE
1,2,63,絹ごし豆腐,きぬ漉しとうふ キヌゴシトウフ どうふ ドウフ ,1.7,6.8,400,,224,19.6,12,0,,FALSE
